{'time':3.08,  'input_key':'W',  'm_val':60,  'goal_yaw':0,  'goal_depth':1.0,  'set_yaw':False,  'set_depth':False,  'rot0':0,  'rot1':0,  'rot2':0,  'rot3':0,  'rot4':0,  'rot5':0}
{'time':54.69,  'input_key':'X',  'm_val':60,  'goal_yaw':0,  'goal_depth':1.0,  'set_yaw':True,  'set_depth':False,  'rot0':835,  'rot1':873,  'rot2':0,  'rot3':0,  'rot4':1435,  'rot5':1422}
{'time':59.11,  'input_key':'X',  'm_val':60,  'goal_yaw':0,  'goal_depth':1.0,  'set_yaw':True,  'set_depth':True,  'rot0':69,  'rot1':74,  'rot2':0,  'rot3':0,  'rot4':121,  'rot5':121}
{'time':61.32,  'input_key':'X',  'm_val':60,  'goal_yaw':0,  'goal_depth':1.0,  'set_yaw':True,  'set_depth':False,  'rot0':36,  'rot1':33,  'rot2':0,  'rot3':0,  'rot4':60,  'rot5':61}
{'time':129.82,  'input_key':'X',  'm_val':60,  'goal_yaw':0,  'goal_depth':1.0,  'set_yaw':True,  'set_depth':True,  'rot0':1111,  'rot1':1103,  'rot2':0,  'rot3':0,  'rot4':1868,  'rot5':1827}
{'time':134.59,  'input_key':'W',  'm_val':60,  'goal_yaw':0,  'goal_depth':1.0,  'set_yaw':True,  'set_depth':False,  'rot0':75,  'rot1':77,  'rot2':0,  'rot3':0,  'rot4':129,  'rot5':129}
{'time':136.79,  'input_key':'n',  'm_val':60,  'goal_yaw':0,  'goal_depth':1.0,  'set_yaw':False,  'set_depth':False,  'rot0':3,  'rot1':3,  'rot2':0,  'rot3':0,  'rot4':4,  'rot5':3}
{'time':147.52,  'input_key':'D',  'm_val':60,  'goal_yaw':0,  'goal_depth':1.0,  'set_yaw':False,  'set_depth':False,  'rot0':0,  'rot1':0,  'rot2':0,  'rot3':0,  'rot4':0,  'rot5':0}
{'time':154.32,  'input_key':'W',  'm_val':60,  'goal_yaw':180,  'goal_depth':1.0,  'set_yaw':False,  'set_depth':False,  'rot0':56,  'rot1':50,  'rot2':0,  'rot3':0,  'rot4':98,  'rot5':100}
{'time':164.36,  'input_key':'X',  'm_val':60,  'goal_yaw':180,  'goal_depth':1.0,  'set_yaw':True,  'set_depth':False,  'rot0':156,  'rot1':165,  'rot2':0,  'rot3':0,  'rot4':264,  'rot5':277}
{'time':165.89,  'input_key':'X',  'm_val':60,  'goal_yaw':180,  'goal_depth':1.0,  'set_yaw':True,  'set_depth':True,  'rot0':25,  'rot1':24,  'rot2':0,  'rot3':0,  'rot4':41,  'rot5':40}
{'time':167.25,  'input_key':'X',  'm_val':60,  'goal_yaw':180,  'goal_depth':1.0,  'set_yaw':True,  'set_depth':False,  'rot0':19,  'rot1':19,  'rot2':0,  'rot3':0,  'rot4':32,  'rot5':31}
{'time':219.04,  'input_key':'X',  'm_val':60,  'goal_yaw':180,  'goal_depth':1.0,  'set_yaw':True,  'set_depth':True,  'rot0':834,  'rot1':825,  'rot2':0,  'rot3':0,  'rot4':1387,  'rot5':1361}
{'time':223.98,  'input_key':'n',  'm_val':60,  'goal_yaw':180,  'goal_depth':1.0,  'set_yaw':True,  'set_depth':False,  'rot0':79,  'rot1':78,  'rot2':0,  'rot3':0,  'rot4':131,  'rot5':131}
{'time':223.98,  'input_key':'n',  'm_val':60,  'goal_yaw':180,  'goal_depth':1.0,  'set_yaw':True,  'set_depth':False,  'rot0':0,  'rot1':0,  'rot2':0,  'rot3':0,  'rot4':0,  'rot5':0}
{'time':223.98,  'input_key':'n',  'm_val':60,  'goal_yaw':180,  'goal_depth':1.0,  'set_yaw':True,  'set_depth':False,  'rot0':0,  'rot1':0,  'rot2':0,  'rot3':0,  'rot4':0,  'rot5':0}
{'time':223.98,  'input_key':'W',  'm_val':60,  'goal_yaw':180,  'goal_depth':1.0,  'set_yaw':True,  'set_depth':False,  'rot0':0,  'rot1':0,  'rot2':0,  'rot3':0,  'rot4':0,  'rot5':0}
{'time':223.98,  'input_key':'p',  'm_val':0,  'goal_yaw':180,  'goal_depth':1.0,  'set_yaw':False,  'set_depth':False,  'rot0':0,  'rot1':0,  'rot2':0,  'rot3':0,  'rot4':0,  'rot5':0}
